iter	Passed	Remaining
918	51343	4525
919	51516	4479
920	51649	4430
921	51771	4379
922	51958	4334
923	52111	4286
924	52201	4232
925	52312	4180
926	52387	4125
927	52476	4071
928	52562	4017
929	52630	3961
930	52684	3904
931	52738	3847
932	52790	3790
933	52841	3733
934	52893	3677
935	52968	3621
936	53067	3568
937	53123	3511
938	53175	3454
939	53228	3397
940	53290	3341
941	53336	3283
942	53398	3227
943	53457	3171
944	53559	3117
945	53694	3065
946	53759	3008
947	53822	2952
948	53872	2895
949	53930	2838
950	53981	2781
951	54043	2724
952	54099	2668
953	54167	2611
954	54268	2557
955	54385	2503
956	54468	2447
957	54563	2392
958	54725	2339
959	54807	2283
960	54869	2226
961	54944	2170
962	55006	2113
963	55079	2056
964	55154	2000
965	55239	1944
966	55300	1887
967	55349	1829
968	55402	1772
969	55452	1715
970	55504	1657
971	55555	1600
972	55610	1543
973	55655	1485
974	55708	1428
975	55770	1371
976	55842	1314
977	55913	1257
978	55965	1200
979	56007	1143
980	56056	1085
981	56109	1028
982	56164	971
983	56226	914
984	56286	857
985	56350	800
986	56409	742
987	56462	685
988	56546	628
989	56601	571
990	56692	514
991	56771	457
992	56816	400
993	56873	343
994	56926	286
995	56975	228
996	57035	171
997	57088	114
998	57132	57
999	57185	0
